iter	MultiClass
0	4.339375178
1	4.289133045
2	4.237795674
3	4.195329118
4	4.150315622
5	4.108422973
6	4.061857084
7	4.026073642
8	3.991238931
9	3.94516078
10	3.902304887
11	3.859814183
12	3.824607758
13	3.783739558
14	3.740438453
15	3.698563206
16	3.664286619
17	3.632888235
18	3.606376514
19	3.57376526
20	3.543281615
21	3.509230102
22	3.474682713
23	3.441517232
24	3.411000151
25	3.381704066
26	3.345197149
27	3.30973531
28	3.27958556
29	3.247331571
30	3.218269435
31	3.188548256
32	3.159066303
33	3.125841821
34	3.095016785
35	3.063338676
36	3.033092202
37	3.004782483
38	2.982928212
39	2.958449116
40	2.933478228
41	2.909049606
42	2.878886187
43	2.854702839
44	2.834342178
45	2.812243288
46	2.786606618
47	2.764969601
48	2.740128947
49	2.713830244
50	2.689247072
51	2.669261293
52	2.646127987
53	2.624789297
54	2.607031247
55	2.587316347
56	2.569454045
57	2.554490819
58	2.535893914
59	2.516455825
60	2.500581634
61	2.478434027
62	2.457732475
63	2.438671822
64	2.421380745
65	2.399541629
66	2.384860126
67	2.364201806
68	2.347674027
69	2.328686618
70	2.310298362
71	2.293349612
72	2.275072986
73	2.260393326
74	2.24320633
75	2.230412265
76	2.21427548
77	2.1975521
78	2.186006758
79	2.173929927
80	2.157602167
81	2.144908044
82	2.13359879
83	2.119459065
84	2.10367683
85	2.083375597
86	2.066408195
87	2.057801025
88	2.037209131
89	2.021439661
90	2.007780757
91	1.993937467
92	1.974804675
93	1.962861153
94	1.945733587
95	1.934747715
96	1.92534798
97	1.909706582
98	1.896106852
99	1.884131745
