iter	Passed	Remaining
0	9	925
1	18	911
2	27	898
3	36	882
4	45	869
5	54	857
6	63	847
7	72	833
8	81	824
9	90	815
10	99	806
11	108	797
12	117	788
13	126	778
14	136	770
15	145	763
16	154	753
17	163	743
18	172	733
19	180	723
20	189	714
21	198	704
22	207	696
23	216	686
24	225	677
25	234	668
26	243	659
27	253	651
28	261	641
29	270	631
30	279	623
31	290	616
32	299	608
33	309	599
34	318	590
35	327	581
36	336	572
37	345	563
38	354	554
39	363	545
40	372	536
41	381	526
42	390	517
43	399	508
44	408	499
45	417	490
46	426	480
47	435	471
48	444	462
49	453	453
50	462	444
51	471	435
52	480	425
53	489	416
54	498	407
55	507	398
56	516	389
57	525	380
58	534	371
59	543	362
60	552	353
61	561	344
62	571	335
63	580	326
64	589	317
65	598	308
66	607	299
67	616	290
68	625	281
69	634	272
70	643	262
71	652	253
72	661	244
73	670	235
74	678	226
75	687	217
76	696	208
77	705	198
78	713	189
79	722	180
80	731	171
81	740	162
82	749	153
83	757	144
84	766	135
85	775	126
86	784	117
87	793	108
88	802	99
89	812	90
90	821	81
91	830	72
92	839	63
93	848	54
94	857	45
95	866	36
96	875	27
97	884	18
98	893	9
99	902	0
