iter	Passed	Remaining
0	61	61032
1	61	30804
2	62	20628
3	62	15537
4	62	12486
5	63	10449
6	63	8993
7	63	7898
8	64	7050
9	64	6369
10	64	5811
11	64	5346
12	65	4955
13	65	4618
14	65	4326
15	66	4070
16	66	3847
17	66	3648
18	67	3461
19	68	3332
20	68	3185
21	68	3052
22	69	2931
23	69	2818
24	69	2716
25	69	2622
26	70	2534
27	70	2452
28	70	2375
29	71	2303
30	71	2236
31	71	2172
32	72	2113
33	72	2060
34	72	2010
35	73	1960
36	73	1913
37	73	1869
38	74	1827
39	74	1787
40	74	1748
41	75	1711
42	75	1676
43	75	1643
44	75	1612
45	76	1581
46	76	1553
47	77	1528
48	77	1502
49	77	1476
50	78	1451
51	78	1431
52	78	1411
53	79	1389
54	79	1368
55	79	1347
56	80	1327
57	80	1307
58	80	1288
59	81	1270
60	81	1252
61	81	1235
62	81	1218
63	82	1202
64	82	1190
65	83	1175
66	83	1161
67	83	1147
68	84	1133
69	84	1120
70	84	1109
71	85	1097
72	85	1085
73	85	1072
74	86	1061
75	86	1049
76	86	1037
77	86	1026
78	87	1017
79	87	1007
80	87	997
81	88	987
82	88	977
83	88	968
84	89	958
85	89	949
86	89	940
87	89	931
88	90	923
89	90	915
90	90	907
91	91	898
92	91	890
93	91	882
94	91	875
95	92	869
96	92	861
97	92	854
98	93	847
99	93	840
100	93	834
101	94	827
102	94	822
103	94	815
104	95	811
105	95	805
106	95	799
107	96	793
108	96	787
109	96	781
110	96	776
111	97	769
112	97	763
113	97	758
114	97	753
115	98	748
116	98	744
117	98	738
118	99	733
119	99	728
120	99	723
121	99	718
122	100	714
123	100	710
124	100	705
125	101	701
126	101	696
127	101	692
128	101	688
129	102	684
130	102	680
131	102	676
132	103	673
133	103	669
134	103	665
135	104	662
136	104	658
137	104	654
138	105	651
139	105	647
140	105	645
141	106	641
142	106	638
143	106	634
144	107	631
145	107	628
146	107	624
147	108	622
148	108	620
149	108	616
150	109	613
151	109	610
152	109	606
153	109	603
154	110	600
155	110	597
156	110	594
157	111	591
158	111	588
159	111	585
160	111	582
161	112	579
162	112	576
163	112	573
164	112	571
165	113	568
166	113	565
167	113	563
168	114	560
169	114	558
170	114	555
171	114	553
172	115	554
173	116	552
174	116	549
175	117	547
176	117	545
177	117	544
178	118	542
179	118	540
180	118	538
181	119	535
182	119	533
183	119	531
184	120	528
185	120	527
186	120	524
187	121	522
188	121	520
189	121	518
190	121	516
191	122	514
192	122	512
193	122	510
194	123	508
195	123	506
196	123	504
197	124	502
198	124	500
199	124	499
200	125	497
201	125	495
202	125	493
203	126	492
204	126	491
205	126	489
206	127	487
207	127	485
208	127	483
209	128	482
210	128	480
211	128	478
212	129	476
213	129	474
214	129	473
215	129	471
216	130	469
217	130	467
218	130	466
219	131	464
220	131	463
221	131	462
222	132	461
223	132	459
224	132	457
225	133	456
226	133	454
227	133	453
228	134	451
229	134	450
230	134	448
231	134	446
232	135	445
233	135	443
234	135	442
235	136	440
236	136	438
237	136	437
238	136	435
239	137	434
240	137	432
241	137	431
242	137	429
243	138	428
244	138	426
245	138	425
246	139	424
247	139	422
248	139	421
249	140	420
250	140	419
251	140	417
252	140	416
253	141	414
254	141	413
255	141	412
256	142	411
257	142	409
258	142	408
259	143	407
260	143	406
261	143	404
262	144	403
263	144	402
264	144	400
265	144	399
266	145	398
267	145	397
268	145	395
269	145	394
270	146	393
271	146	392
272	146	391
273	147	390
274	147	389
275	147	388
276	148	386
277	148	385
278	148	384
279	149	383
280	149	382
281	149	381
282	150	380
283	150	379
284	150	378
285	151	377
286	151	376
287	151	375
288	152	374
289	152	372
290	152	371
291	152	370
292	153	369
293	153	368
294	153	367
295	153	365
296	154	364
297	154	363
298	154	362
299	155	361
300	155	361
301	155	360
302	156	359
303	156	358
304	156	357
305	157	356
306	157	355
307	157	353
308	157	352
309	158	351
310	158	350
311	158	350
